Repetition 8 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 9 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 10 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 11 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 12 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 13 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 14 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 15 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 16 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 17 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 18 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 19 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 20 | Model: TSK_Variation_1 | Params: {'nClusters': 5, 'm': 1.5}
Repetition 21 | Model: TSK_Variation_1 | Params: {'nClusters': 2, 'm': 1.5}
Repetition 1 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 2 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 3 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
Repetition 4 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 5 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
Repetition 6 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 7 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 8 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
Repetition 9 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
Repetition 10 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 11 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
Repetition 12 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 13 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 14 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 15 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 16 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 17 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 18 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 19 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 20 | Model: TSK_Variation_2 | Params: {'nClusters': 7, 'm': 2.0}
Repetition 21 | Model: TSK_Variation_2 | Params: {'nClusters': 10, 'm': 2.0}
